"","MES","AC","OPC","NPC"
"1","CHI3L1","CST3","BCAN","DLL3"
"2","ANXA2","S100B","PLP1","DLL1"
"3","ANXA1","SLC1A3","GPR17","SOX4"
"4","CD44","HEPN1","FIBIN","TUBB3"
"5","VIM","HOPX","LHFPL3","HES6"
"6","MT2A","MT3","OLIG1","TAGLN3"
"7","C1S","SPARCL1","PSAT1","NEU4"
"8","NAMPT","MLC1","SCRG1","MARCKSL1"
"9","EFEMP1","GFAP","OMG","CD24"
"10","C1R","FABP7","APOD","STMN1"
"11","SOD2","BCAN","SIRT2","TCF12"
"12","IFITM3","PON2","TNR","BEX1"
"13","TIMP1","METTL7B","THY1","OLIG1"
"14","SPP1","SPARC","PHYHIPL","MAP2"
"15","A2M","GATM","SOX2-OT","FXYD6"
"16","S100A11","RAMP1","NKAIN4","PTPRS"
"17","MT1X","PMP2","PLPPR1","MLLT11"
"18","S100A10","AQP4","PTPRZ1","NPPA"
"19","FN1","DBI","VCAN","BCAN"
"20","LGALS1","EDNRB","DBI","MEST"
"21","S100A16","PTPRZ1","PMP2","ASCL1"
"22","CLIC1","CLU","CNP","BTG2"
"23","MGST1","PMP22","TNS3","DCX"
"24","RCAN1","ATP1A2","LIMA1","NXPH1"
"25","TAGLN2","S100A16","CA10","JPT1"
"26","NPC2","HEY1","PCDHGC3","PFN2"
"27","SERPING1","PCDHGC3","CNTN1","SCG3"
"28","TCIM","TTYH1","SCD5","MYT1"
"29","EMP1","NDRG2","P2RX7","CHD7"
"30","APOE","PRCP","CADM2","ADGRG1"
"31","CTSB","ATP1B2","TTYH1","TUBA1A"
"32","C3","AGT","FGF12","PCBP4"
"33","LGALS3","PLTP","PACC1","ETV1"
"34","MT1E","GPM6B","NEU4","SHD"
"35","EMP3","F3","FXYD6","TNR"
"36","SERPINA3","RAB31","RNF13","AMOTL2"
"37","ACTN1","PLPP3","RTKN","DBN1"
"38","PRDX6","ANXA5","GPM6B","HIP1"
"39","IGFBP7","TSPAN7","LMF1","ABAT"
"40","SERPINE1","","ALCAM","ELAVL4"
"41","PLP2","","PGRMC1","LMF1"
"42","MGP","","PLAAT1","GRIK2"
"43","CLIC4","","BCAS1","SERINC5"
"44","GFPT2","","RAB31","TSPAN13"
"45","GSN","","PLLP","ELMO1"
"46","NNMT","","FABP5","GLCCI1"
"47","TUBA1C","","NLGN3","SEZ6L"
"48","GJA1","","SERINC5","LRRN1"
"49","TNFRSF1A","","EPB41L2","SEZ6"
"50","WWTR1","","GPR37L1","SOX11"
"51","HILPDA","","","STMN2"
"52","ADM","","","RND3"
"53","DDIT3","","","NSG2"
"54","NDRG1","","","MIAT"
"55","HERPUD1","","","NSG1"
"56","DNAJB9","","","DLX6-AS1"
"57","TRIB3","","","NREP"
"58","ENO2","","","FNBP1L"
"59","AKAP12","","","STMN4"
"60","SQSTM1","","","DLX5"
"61","ATF3","","","MAP1B"
"62","NRN1","","","RBFOX2"
"63","SLC2A1","","","IGFBPL1"
"64","BNIP3","","","TMEM161B-DT"
"65","INSIG2","","","DPYSL3"
"66","IGFBP3","","","SEPTIN3"
"67","PPP1R15A","","","PKIA"
"68","PLOD2","","","ATP1B1"
"69","GBE1","","","DYNC1I1"
"70","SLC2A3","","","CD200"
"71","FTL","","","SNAP25"
"72","WARS1","","","PAK3"
"73","ERO1A","","","NDRG4"
"74","XPOT","","","KIF5A"
"75","HSPA5","","","UCHL1"
"76","GDF15","","","ENO2"
"77","EPAS1","","","KIF5C"
"78","LDHA","","","DDAH2"
"79","P4HA1","","","TUBB2A"
"80","SERTAD1","","","LBH"
"81","PFKP","","","LINC01102"
"82","PGK1","","","TCF4"
"83","EGLN3","","","GNG3"
"84","SLC6A6","","","NFIB"
"85","CA9","","","DPYSL5"
"86","BNIP3L","","","CRABP1"
"87","RPL21","","","NFIX"
"88","TRAM1","","","CEP170"
"89","UFM1","","","BLCAP"
"90","ASNS","","",""
"91","GOLT1B","","",""
"92","ANGPTL4","","",""
"93","SLC39A14","","",""
"94","CDKN1A","","",""
"95","HSPA9","","",""
