#Program: R2: Genomics analysis and visualization platform,,,,
#Website: https://r2.amc.nl,,,,
#Support: r2-support@amsterdamumc.nl,,,,
#Date: 2025-02-22 (19:48:29),,,,
#Comparison: groups,,,,
#Data transformation: transform_log2,,,,
#Dataset: ps_avgpres_broadgbm540_u133a,,,,
#Groups: mesenchymal;proneural,,,,
#Minimal presentcalls: 1,,,,
#Number of lines: 3246,,,,
#Output: anova fdr p<=0.01,,,,
#Pretty_dataset: Tumor Glioblastoma - TCGA - 540 - MAS5.0 - u133a,,,,
"#Subset: subtype~mesenchymal,proneural (n=51)",,,,
#Test: anova,,,,
#Track: subtype,,,,
#Values field: ,,,,
#H:probeset,hugo,corrected-pvalue,log2fc,sublist
203305_at,F13A1,2.10E-11,-3.862964914,subtype: mesenchymal >= proneural
208492_at,RFXAP,0.000153606,1.650718376,subtype: mesenchymal < proneural
40273_at,SPHK2,0.000971947,0.429759008,subtype: mesenchymal < proneural
200791_s_at,IQGAP1,3.07E-11,-1.462602348,subtype: mesenchymal >= proneural
213043_s_at,MED24,5.90E-07,0.750731149,subtype: mesenchymal < proneural
212501_at,CEBPB,5.42E-11,-1.632324303,subtype: mesenchymal >= proneural
200016_x_at,HNRNPA1,5.62E-06,0.510232958,subtype: mesenchymal < proneural
203739_at,ZNF217,8.85E-11,-1.757889134,subtype: mesenchymal >= proneural
202548_s_at,ARHGEF7,1.45E-06,1.067515632,subtype: mesenchymal < proneural
218035_s_at,RBM47,1.66E-10,-1.785291715,subtype: mesenchymal >= proneural
201586_s_at,SFPQ,0.006063929,0.416087474,subtype: mesenchymal < proneural
201472_at,VBP1,3.54E-06,0.441708513,subtype: mesenchymal < proneural
218514_at,SMG8,0.002209933,0.332715292,subtype: mesenchymal < proneural
208881_x_at,IDI1,5.07E-05,0.826007094,subtype: mesenchymal < proneural
218854_at,DSE,2.60E-10,-1.654589112,subtype: mesenchymal >= proneural
215049_x_at,CD163,4.31E-10,-2.698152978,subtype: mesenchymal >= proneural
203561_at,FCGR2A,7.26E-10,-1.980735435,subtype: mesenchymal >= proneural
204158_s_at,TCIRG1,7.40E-10,-1.814303141,subtype: mesenchymal >= proneural
201798_s_at,MYOF,7.54E-10,-1.872742408,subtype: mesenchymal >= proneural
218559_s_at,MAFB,8.91E-10,-1.652726481,subtype: mesenchymal >= proneural
210644_s_at,LAIR1,1.77E-09,-1.730589366,subtype: mesenchymal >= proneural
203827_at,WIPI1,1.83E-09,-1.491788374,subtype: mesenchymal >= proneural
209527_at,EXOSC2,0.001829778,0.565763441,subtype: mesenchymal < proneural
222201_s_at,CASP8AP2,0.00710037,0.405478534,subtype: mesenchymal < proneural
